Type,Operator,Registration
Ford 4-AT-B Tri Motor,British Columbia Airways,G-CATX
Bleriot Spad 56,CIDNA,
de Havilland DH.50J,Qantas,G-AUHI
Fokker Super Universal,National Parks Airways,NC7242
Fokker FG III,Deutsche Lufthansa,D-180
Breguet 14,Aeropostale,
Douglas M-4,National Air Transport,
Bleriot Spad 56,Air Union,F-AIMN
Latecoere 32,Aeropostale,F-AISN
Hamilton H-47,Universal Airlines,
Douglas M-4,National Air Transport,
Travel Air 4000,Continental Air Lines,
Ford 4-AT-B Tri Motor,Sunbeam Air Transport Co.,NC7862
Dornier Wal,Syndicato Condor,P-BACA
Junkers G24,,
Junkers G-31,Deutsche Lufthansa,D-1473
Douglas M-4,National Air Transport,
Fairchild FC-2,Interstate Airlines,
BlÃ©riot Spad 66,CIDNA,F-AEHX
Fairchild FC-2,Colonial Air Transport,
Stearman C-38,Varney Air Lines,
CMASA Wal,Aeroespresso,I-AZDA
Travel Air 4000,Skyline Transportation Company,
Latecoere 26,Aeropostale,
Ford 5-AT-B Tri Motor,Colonial Western Airlines,NC7683
Fokker F-VIIA,New Standard Airlines,NC7888
Ford 5-AT-B Tri-Motor / B-PW-9D,Maddux Airlines / Military - U.S.Army Air Force,NC9636 / 28-037
Fokker F-III,MALERT,H-MABC
Cams 53,Aeropostale,F-AISX
Fokker F-X,Pan American Airways,NC9700
Breguet 14,Aeropostale,F-AFEJ
Handley Page W-10,Imperial Airways,G-EBMT
Ford 5-AT-B Tri-Motor,Northwest Orient Airlines,NC7416
Domier Delphin III,Aero Lloyd,D-1620
Travel Air 4000,Continental Air Lines,
Lockheed Vega,Middle States Airlines,NC870E
Breguet 14,Aeropostale,
Kalinin K-4,Ukvozduchput,CCCP-217
Fokker FG II,Deutsche Lufthansa,D-757
Lockheed Vega,Associated Aviators,NR859E
Ford 5-AT-B Tri Motor,Trans Continental Air Transport,NC9649
de Havilland DH-66 Hercules,Imperial Airways,G-EBMZ
Latecoere 25-3-R,Aeropostale,F-AIUJ
Fairchild 71,Pickwick Airways,
Pitcairn PA-6 Mailwing,Colonial Air Transport,
Short Calcutta,Imperial Airways,G-AADN
Stearman C-38,Continental Air Lines,
Loening C-2C,Bremerton-Seattle Air Taxi / Gorst Air Lines,
Lockheed Vega 5,Corp. Aeronautica de Transportes,NC46M
Junkers G-24,Deutsche Lufthansa,D-903
Liore et Olivier 190,Air Union,F-AIGB
Stearman M-2 Speedmail,Varney Air Lines,
Douglas M-3,National Air Transport,
Bernard 192,Aeropostale,F-AJDA
Arado V1,Deutsche Lufthansa,D-1594
Travel Air B6000,Trans Continental Air Transport,
Boeing 95,Boeing Air Transport,NC184E
Farman 190,Air Orient,F-AJJK
Ford 5-AT-C Tri Motor,Maddux Airlines,NC9689
Latecoere 25,Aeropostale,F-AJCL
Travel Air A6000A,Central  Airlines,
Pitcairn PA-6 Mailwing,Colonial Air Transport,
Farman F-63,Air Union,F-FHMY
Fairchild 71,Canadian Colonial Airways,
Latecoere 28,Aeropostale,F-AJPD
Ford Tri-Motor 5,Colonial Air Transport,NC9675
Dornier Wal,Deutsche Lufthansa,D-864
Lockheed Vega 5,Cross Airways,NC-394H
Ford 5-AT-C Tri Motor,Ceskoslovenske Aerolinie,OK-FOR
Sabca F-VII,Sabena,OO-AIN
,Western Canada Airways,
Royal Airship Works R-101,Military - British Air Ministry,G-FAAW
Messerschmitt M-20B,Deutsche Lufthansa,D-1930
Latecoere 28,Aeropostale,F-AJUU
Lockheed Vega,Alaska-Washington Airways,NC103W
Handley Page W-8,Imperial Airways,G-EBIX
Pitcairn PA-6 Mailwing,Embry Riddle Company,
Junkers G-24,Syndicato Condor,P-BAHA
Boeing 40,PacifiAir Transport,NC5340
Loening C-W Air Yaht,China National Aviation Corporation,
Fokker F-VII,Sabena,OO-AIL
Boeing 40,Varney Air Lines,NC741K
Desoutter II,Dominion Air Lines,ZK-ACA
Fokker Universal F-14,Western Canada Airways,
Latecoere 32,Aeropostale,F-AITX
Avro 10,Australian National Airways,VH-UMF
Fokker F10A Trimotor,Trans Continental and Western Air,NC-999
Messerschmitt M-20,Deutsche Lufthansa,D-1928
Boeing 40,PacifiAir Transport,NC5390
Junkers W-34,Guiena Airways,VH-UNR
Boeing 95,National Air Transport,NC397E
Fokker F-VIIB,Air Orient,PH-AEO
Lockheed Vega 2,Rubner Flying Service,NC857E
Dornier Merkur,Deutsche Lufthansa,D-1455
Lockheed Vega,Braniff Airlines,NC8497
Lasco Lascowl,Australian Aerial Services,VH-UGF
Pitcairn PA-6 Mailwing,American Airways,
Fokker F-VII,CIDNA,
Ford 5-AT-C Tri Motor,American Airways,NC9662
Lockheed Vega,Chicago-Detroit Airways,NC606
Boeing 40,PacifiAir Transport,NC10347
Heinkel HE-2,Deutsche Lufthansa,D-1717
Dornier Wal,Syndicato Condor,P-BALSA
Lockheed Orion 9,NY, Phil., Washington AW,NC12221
De Havilland DH.80,Union Airways,
Boeing 40,Boeing Air Transport,NC7465
Stinson,China National Aviation Corporation,
Boeing 40,Varney Air Lines,NC10338
Lockheed Vega 5,Braniff Airways,NC433E
Fokker F-VIIb-3M,KLM Royal Dutch Airlines,PH-AFO
CAMS 56,Aeropostale,F-AIOX
Fairchild Pilgrim 100A,American Airways,
Stinson SM-2A,Northwest Airways,
Stinson SM-6000B,Century PacifiLines,
Fairchild,Bimini Airways,
Stearman C-3MB,Transamerican Airlines,
Boeing 40,Boeing Air Transport,NC7470
Latecoere 28,Aeropostale,F-AJOX
Stinson SM-6000B,Century Air Lines,
Fokker F-10A,American Airways,
Northrop Alpha,Trans Continental and Western Air,
Farman F-190,Air Orient,
Boeing 95,National Air Transport,NC191E
Stearman C-3MB,Transamerica Airlines,
Boeing 40,Varney Air Lines,NC830M
Boeing 40,PacifiAir Transport,NC5589
Ford 5-AT-C Tri Motor,Panagra,NC403H
CAMS 53,Air Orient,F-AIQY
Junkers G-23,A B Aerotransport,SE-AAE
Fokker F-10,American Airways,NC9716
Liore-et-Olivier 213,Air Union,F-AIFE
De Havilland DH-80,New England Airways,VH-UPM
Latecoere 28,Aeropostale,
Ford Tri-motor 5,Lloyd Aero Boliviano,
Junkers W-33,Deutsche Lufthansa,
Junkers F-13,Deutsche Lufthansa,D-724
Travel Air 6000,Hunter Airways,
Ford 5,Trans Continental and Western Air,NC9650
Boeing 40,Boeing Air Transport,NC842M
De Havilland DH-60,Guinea Airways,VH-UMJ
CAMS 53,Aeropostale,F-AISV
Curtiss Condor 18,Eastern Air Transport,NC185H
Stearman 4,American Airways,N490W
Stearman 4,American Airways,NC11721
Ford 5-AT-D,PacifiAir Transport,NC431H
Fairchild FC-2W,Pan American Grace Airways,NC9723
Lockheed Orion 9,Varney Airlines,NC12226
Armstrong Whitworth Argosy II,Imperial Airways,G-AACI
Junkers F-13,Deutsche Lufthansa,D-534
Goodyear-Zeppelin U.S.S. Akron (airship),Military - U.S. Navy,ZRS-4
Cams 33,Air Orient,F-ALCE
Junkers W-34,Eurasia,D-4
Latecoere 28-1,Aeropostale - La Tecoere Company,F-AJIX
Pitcairns PA-6,Eastern Air Transport,
Ford 5-AT-B Tri Motor,Trans Continental and Western Air,NC9607
Farman F-306,Aeroput,YU-SAH
Boeing 247-D,United Air Lines,NC13304
Farman F-301,Air France,F-AJMI
Boeing 247,United Air Lines,NC13345
Northrop Delta,Trans Continental and Western Air,NC12292
Sinson,China National Aviation Corporation,
Kalinin K-7,Kalinin,
Boeing 247,National Air Transport,NC13324
Focke-Wulf A-17,Deutsche Lufthansa,D-1403
Junkers W-34,Union Airways,ZS-AEB
Avro 10,Imperial Airways,G-ABLU
Dewoitine D-332,Air France,F-AMMY
Breguet 280T,Air France,F-AJKX
Boeing 247,Boeing Aircraft Company,NC13357
LatÃ©coÃ¨re 28,Air France,F-AJPA
Fairchild Pilgrim 100A,American Airways,NC710Y
Sikorsky S-38 Flying Boat,Pan American Airways (Scadta),NC-9107
Ford 5-AT-C Tri-Motor,Pan American Grace Airlines,NC407H
Sikorsky S-38BB,China National Aviation Corporation,NV17V
Wibault 282T-12,Air France,F-AMPH
Liore-et-Olivier 213,Air France,F-AIVG
Curtiss Condor T-32,American Airways,NC12354
Ford 5-AT-C Tri-Motor,Panagra,NC8417
Dornier Merkur,Deutsche Lufthansa,D-1445
Lockheed Orion,Aerevias Centrales Air Service,XA-BEJ
Lockheed Vega,United Air Services,NC32E
Curtiss AT-32C Condor,Swissair,CH-170
Latecoere 26,Air France,F-AILK
Sikorsky S-38B,China National Aviation Corporation,
Stinson  SM-6000B,Rapid Air Transport,NC10809
de Havilland DH-50A,Qantas,VH-UHE
de Havilland DH-86,Holyman Airways,VH-URN
De Havilland DH-61,Holdens Air Transport Service,VH-UHW
de Havilland DH-86,Qantas,VH-USG
de Havilland DH-86,Qantas,VH-USG
Stinson SM-6000-B,Rapid Air Transport,NC10809
Junkers F-13,Deutsche Lufthansa,D-OMAS
Lockheed Vega 5C,Braniff Airlines,NC106W
Ford 4-AT-E Tri-motor,Cubana de Aviacion,NM-7
Douglas DC-2-115A,KLM Royal Dutch Airlines,PH-AJU
Lockheed Orion 9D,American Airlines,NC12286
Consolidated Fleetster,Trans Continental and Western Air,NC13212
Junkers JU-52/3m,Deruluft,D-AREN
Rochrbach Roland,Deruluft,D-AJYP
de Havilland Dragon 1,Misrair,SU-ABI
Junkers F-13,Deutsche Lufthansa,D-OHIL
Farman F-300,Air France,F-ALHQ
Fokker F-12,KLM Royal Dutch Airlines,PH-AFL
Lockheed Vega,Varney Air Lines,NC891E
Douglas DC-2-112,Trans Continental and Western Air,NC13785
Ford model 4-AT-E,Knowles Flying Service of Detroit,WC-7864
Tupolev ANT-20 / I-5,Gor'ky Eskadril'ya,CCCP-I20
Boeing 221,Wyoming Air Service,NC725W
Stinson SM6000B Tri-motor,Chicago and Southern Airlines,NC10894
,,
Ford Tri-Motor / Ford Tri-Motor,Servicio Aereo Columbiano / SCADTA,C-31 / F-31
Fokker F-XXII,KLM Royal Dutch Airlines,PH-AQJ
General 102-E,Wedell-Williams Air Service Corporation,NC-492K
Douglas DC-2,KLM Royal Dutch Airlines,PH-AKG
Sikorsky S-38B,China National Aviation Corporation,NV40V
Stinson Model A,Delta Air Lines,NC14599
Waco, model YLC,Aero Mayflower Transit Co,NC14140
Lockheed Orion 9E Explorer float plane,Private,NR12283
Boeing 247,Western Air Express,NC13314
de Havilland DH-86,Holyman Airways,VH-URT
Boeing 247D,United Air Lines,NC13317
Junkers F-13,Aero O-Y,OH-ALI
Curtiss AT-32C Condor,Chamberlin Flying Service,NC725K
Boeing B-247-D,United Air Lines,NC13323
LatÃ©coÃ¨re 28-1,Air France,F-AJIQ
Ford Tri-Motor,TACA,
Lockheed Vega,Braniff Airlines,NC980Y
Latecoere 28,Air France,F-AJPB
Caudron C-630 Simoun,Air Bleu,F-ANRK
Savoia-Marchetti SM73,Sabena,OO-AGN
Heinkel He-70,Deutsche Lufthansa,D-UVOR
Short Calcutta,Imperial Airways,G-AASJ
Douglas DC-2-120,American Airlines,NC14274
Junkers JU-52,Lloyd Aereo Boliviano,
CAMS 53,Air France,F-AJIR
Vultee V-1,American Airlines,NC13767
Dormier Do-J-Iif Bos Wal,Deutsche Lufthansa,D-ADYS
Ford 5-AT-D Tri-Motor,China National Aviation Corporation,
Ford 5-AT-B Tri Motor,Compania de Mexico,X-ABCO
Stinson Model A,American Airlines,NC15152
Douglas DC-2-112,Trans Continental and Western Air,NC13721
Sikorsky S-42A,Pan American Airways,NC1537
OFM F-VIIb/3m,Avio Linee Italiane,I-AAXZ
Junkers JU-52,Deutsche Lufthansa,D-ASOR
Fokker F-VII,Sabena,OO-AIF
General Aviation GA-43,Swissair,HB-ITU
De Havilland DH-60,Holyman Airways,VH-UII
Fokker F-XXII,A B Aerotransport,SE-ABA
Junkers JU-160,Deutsche Lufthansa,D-UPYM
Junkers JU-52/3m,Den Norske Luftfartskole,LN-DAE
Saro Cloud,Guernsey Airways,G-ABXW
Wibault 280,Air France,
Lockheed Orion,Mexicana,XA-BAY
Lockheed 10B Electra,Chicago Southern Airlines,NC16022
Junkers F-13,SCADTA,C-40
De Havilland DH-86,British Airways,G-ADEB
Short Kent,Imperial Airways,G-ABFA
Boulton and Paul P-71,Imperial Airways,G-ACOX
Lockheed Vega,Varney Air Lines,NC176W
Lockheed Vega 5C,Blue Bird Air Service,NC959Y
Lockheed Orion,Mexicana,XA-BDH
Blackburn B-2,North Sea Aerial and General Transport,G-ABWI
Junkers JU-52,Deutsche Lufthansa,D-APOO
Antonov AN-9,Deruluft,CCCP-D311
Junkers JU-52/3m,Deutsche Lufthansa,D-ASUI
Fokker F-XII,British Airways,G-AEOT
Junkers JU-52/3m,Deutsche Lufthansa,D-ASIH
LatÃ©coÃ¨re 300,Air France,F-AKGF
Douglas DC-2-115E,KLM Royal Dutch Airlines,PH-AKL
Boeing 247D,Western Air Express,NC13370
Lockheed 10 Electra,Northwest Orient Airlines,NC14935
Douglas DC-2-112,Eastern Air Lines,NC13732
Lockheed 10 Electra,Braniff Airways,NC14905
Douglas DC-2,China National Aviation Corporation,NC14269
Boeing 247-D,United Air Lines,NC13355
Boeing 247B,Western Air Express,NC13315
Sabca S-73,Sabena,OO-AGR
Douglas DC-3A,United Air Lines,NC16073
Stinson Model A,Airlines of Australia,VH-UHH
Heinkel He-111V2,Deutsche Lufthansa,D-ALIX
Short  S-23 (flying boat),Imperial Airways,G-ADVA
Douglas DC-2-112,Trans Continental and Western Air,NC13730
Junkers JU-52/3m,Deutsche Lufthansa,D-UPOZ
Zeppelin LZ-129,Deutsche Zeppelin Reederei,D-LZ-129
Heinkel He-70,Deutsche Lufthansa,D-UXUV
Lockheed 10E Electra,Private - Purdue Reasearch Foundation,NR16020
Douglas DC-2-115L,KLM Royal Dutch Airlines,PH-ALF
Savoia-Marchetti SM73,Ala Littoria,I-SUSA
Sikorsky S-43,Pan American Grace Airways,NC15065
Sikorsky S-43,China National Aviation Corporation,
Douglas DC-2,Eastern Air Lines,NC-13739
Douglas DC-2,Pan American Grace Airways,NC14298
Stinson SR-7 Reliant,Guinea Airways,VH-URC
Dewoitine D-338,Air France,F-AQBB
Short Empire Flying Boat,Imperial Airways,G-ADVC
Douglas DC-3,KLM Royal Dutch Airlines,PH-ALS
Douglas DC-3,United Air Lines,NC16074
Heinkel He-111,Deutsche Lufthansa,D-AXAV
Junkers JU-52/3m,Sabena,OO-AUB
Junkers JU-52,Deutsche Lufthansa,D-AGAV
Short Empire Flying Boat,Imperial Airways,G-ADUZ
Potez 621,Air France,F-AOTZ
Wibault 283-T12,Air France,F-AMYD
Junkers JU-52/3m,Deutsche Lufthansa,D-ABUR
Lockheed 14H Super Electra,Northwest Orient Airlines,NC-17388
Sikorsky S-42 (flying boat),Pan American World Airways,NC16734
Stinson Reliant,General Airways,CF-BEI
Consolidated PBY-2 / Consolidated PBY-2,Military - U.S. Navy / Military - U.S. Navy,04062 / 0463
V6 (airship),TsAGI,CCCP-V6
LiorÃ©-et-Olivier H-242,Air France,F-ANPB
Lockheed 10 Electra,Mexicana,XA-BAS
Junkers JU.52,Deutsche Lufthansa,D-APAR
Douglas DC-2-112,Trans Continental and Western Air,NC13789
Potez 621,Air France,F-ANQR
De Havilland DH-60,Australian National Airways,VH-UNU
Junkers JU-52,Ala Littoria,I-BAUS
Lockheed Vega 5B,Lineas AÃ©reas Mineras,XA-BFR
Lockheed 10 Electra,United Airways of New Zealand,ZK-AFC
Lockheed 14-H2 Super Electra,Northwest Orient Airlines,NC17394
Junkers JU-52/3m,Cruzeiro do Sul,PP-CBC
Douglas DST-A-207A,United Air Lines,NC18108
Heinkel 116,Deutsche Lufthansa,D-ATIO
Fairchild 51,Ginger Coote Airways,CF-AUX
De Havilland DH-85,Wilson Airways,VP-KBE
Douglas DC-2,Pan American Grace Airways,NC14272
Lockheed 14 Super Electra,Northwest Orient Airlines,NC17383
Savoia Marchetti S-66,Ala Littoria,I-VOLO
Lockheed 14H Super Electra,LOT Polish Airlines,SP-BNG
Curtiss-Wright Hawk,Military - Colombian Army,
Armstrong-Withworth Atlanta,Imperial Airways,G-ABTG
Martin M-130 (flying boat),Pan American World Airways,NC14714
Douglas DF-151,Dai Nippon,J-ANES
Ford Tri-motor,,
Savoia-Marchetti SM73,CSA Czech Airlines,OK-BAG
Junkers JU-52/3m,Syndicato Condor,PP-CAT
Lockheed 14 Electra,LOT Polish Airlines,SP-BNJ
Macchi C-94,Macchi,I-NILO
Douglas DC-2,China National Aviation Corporation,32
De Havilland DH-84,North Queensland Airways,VH-UXK
Dornier DO.18,Deutsche Lufthansa,
Junkers JU-52/3m,Deutsche Lufthansa,D-AVFB
Savbia-Marchetti  S-73P,Sabena,OO-AGT
Douglas DC-2-112,Australian National Airways,VH-UYC
Lockheed 14 Electra,British Airways,CF-TCL
de Havilland DH-86,Jersey Airways,G-ACZN
Douglas DC-3,KLM Royal Dutch Airlines,PH-ARY
Lockheed 14 Electra,Trans Canada Air Lines,CF-TCL
Junkers JU90V2,Deutsche Lufthansa,D-AIVI
Short Empire Flying Boat,Imperial Airways,G-AETW
Douglas DC 3-A-SB-3-G-14,United Air Lines,NC16066
Nakajima DC-2,Japan Aviation Corporation,
Lockheed 14-WF62 Super Electra,KLM Royal Dutch Airlines,PH-APE
Short S23 â€˜Câ€™ Class flying boat,Qantas,G-AEUH
Douglas DC-2-115B,Swissair,HB-ITA
Lockheed 14-H Super Electra,Northwest Orient Airlines,NC17389
Junkers JU-52/3m,Syndicato Condor,PP-CAY
Lockheed 14 Electra,Guinea Airways,VH-ABI
Short S-23 (flying boat),Imperial Airways,G-ADUU
Junkers JU-52/3m,Deutsche Lufthansa,D-ALUS
Junkers JU-52,Sabena,OO-AUA
Junkers JU-86,Deutsche Lufthansa,
Boeing 307 Stratoliner,Boeing Aircraft Company,NX19901
Douglas DC-2-115H,Deutsche Lufthansa,D-AIAV
de Havilland DH-84 Dragon,Great Western and Southern Air Lines,G-ACPY
Douglas DC-2-112,Braniff Airlines,NC13727
Caudron C.635 Simoun,Air France,F-AOOT
Short Empire Flying Boat,Imperial Airways,G-ADVD
Dewoitine D-338,Air France,F-ARIC
Curtiss-Wright C-14 Osprey,Military - Ecuadorian Air Force,
Koolhoven FK.43,KLM Royal Dutch Airlines,PH-AJK
Junkers JU86 Z-2,Swissair,HB-IXA
Junkers JU-52/3m,Deutsche Lufthansa,D-AUJG
Sikorsky S43 (flying boat),Pan American World Airways,NC16933
Lockheed 10 Electra,British Airways,G-ASEY
De Havilland D-84,Indian National Airways,VT-AEL
Junkers JU-52/3m,Deutsche Lufthansa,D-AFOP
Douglas DC-3,KLM Royal Dutch Airlines,PH-ASM
Airspeed Oxford,British Airways,G-AFFM
Junkers JU-52,Iberia Airlines,M-CABA
Lockheed 14 Super Electra,Imperial Airways,G-AFYU
Savoia-Marchetti SM83,Linee Aeree Italiane,I-ARPA
Lockheed 14 Super Electra,KNILM,PK-AFO
Handley Page HP-42,Imperial Airways,G-AAGX
Lockheed 14 Super Electra,British Overseas Airways,G-AFKD
Douglas DC-3,Douglas Aircraft Company,
Junkers JU-52/3mge,Aero O-Y,OH-ALL
Dewoitine D-338,Air France,F-ARTD
Dewoitine D-338,Air France,F-AQBA
Lockheed Hudson A16-97,Military - Royal Australian Air Force,
Douglas DC-3,LARES,YR-PAF
Douglas DC-3,Pennsylvania Central Airlines,NC21789
Douglas DC-2,China National Aviation Corporation,NC14297
Douglas DC-3,Deutsche Lufthansa,D-AAIH
Douglas DC-3,United Air Lines,NC16086
Junkers JU-90,Deutsche Lufthansa,D-AVMF
,,
Farman F-224,Air France,F-AROA
Douglas DC-3A,United Air Lines,NC25678
Savoia-Marchetti SM-75,LATI,I-BAYR
Junkers JU-52/3m,Malert Airlines,HA-JUA
Ford 5-AT Tri-Motor,China National Aviation Corporation,
Douglas DC-3-3,Trans Continental and Western Air,NC17315
Lockheed 14-H2 Super Electra,Trans Canada Air Lines,CF-TCP
Douglas DC-3,Eastern Air Lines,NC28394
Junkers JU-52/3m,Deutsche Lufthansa,D-AQUB
Lockheed 18 Lodestar,South African Airways,ZS-AST
Douglas DC-3,LARES,YR-PIF
Mitsubishi MC-20,Manchurian Air Lines,M-604
Consolidated LB-30A Liberator,Military -Royal Air Force,AM261
Consolidated LB-30A Liberator,Military - Royal Air Force,AM260
Lockheed 18 LodeStar,Panair do Brasil,PP-PBD
Bloch 220,Air France,F-AQNL
Consolidated 32-2 Liberator I,British Overseas Airways,AM-915
Sikorsky S-42B (flying boat),Pan American World Airways,NC15376
Junkers JU-53/3m,Deutsche Lufthansa,D-AUXZ
Douglas DC-3,Northwest Orient Airlines,NC21712
Douglas DC-3,American Airlines,NC25663
,Pan American Airways,NC21V
Douglas DC-3,Trans Continental and Western Air,NC1946
Lockheed Hudson,Military - Royal Australian Air Force,A16-79
