index;cn/In
1134;43144/155
1135;20662
1136;14822/26267
1137;10171
1138;
1139;5003
1140;19634
1141;10327
1142;6327
1143;26488
1144;13083
1145;42971
1146;9154
1147;43260/180
1148;1559/27036
1149;15970
1150;15985/32733
1151;13853/25298
1152;33346
1153;14007/25452
1154;6891
1155;16224
1156;400
1157;13014
1158;
1159;9160
1160;7352
1161;13265
1162;10512
1163;2077
1164;4999
1165;
1166;22572
1167;41
1168;30466
1169;22485
1170;
1171;13859/25304
1172;106
1173;16699/33447
1174;27279
1175;54
1176;13450
1177;
1178;43055/37
1179;18350
1180;142
1181;12
1182;19160
1183;3284
1184;43
1185;9754
1186;
1187;4695
1188;43111/102
1189;2005
1190;
1191;
1192;13808
1193;22464
1194;9164
1195;13628
1196;10503
1197;22466
1198;33589
1199;15939/12
1200;13405
1201;12148
1202;42954
1203;16894/34151
1204;446
1205;HP-81/15
1206;9001
1207;
1208;
1209;15939
1210;20187
1211;HP-81/7
1212;
1213;1322
1214;
1215;
1216;
1217;9945
1218;
1219;6177
1220;32934
1221;16733
1222;10498
1223;10518
1224;
1225;10528
1226;
1227;464096
1228;
1229;
1230;10319
1231;43238
1232;33486
1233;7391
1234;9692
1235;
1236;262
1237;402-0100
1238;22395
1239;
1240;4308
1241;1304
1242;15283/26728
1243;10290
1244;
1245;43057/73
1246;6014
1247;22400
1248;82
1249;19105
1250;
1251;36076
1252;14004
1253;168
1254;2568
1255;90
1256;19149
1257;20432
1258;19498
1259;43823
1260;6008
1261;
1262;13716
1263;21984
1264;2224
1265;125
1266;2617
1267;14633/26078
1268;19100
1269;2066
1270;43471
1271;42901/153
1272;
1273;
1274;
1275;2628
1276;9143
1277;
1278;26403
1279;2674
1280;6333
1281;13817/25262
1282;13113
1283;116
1284;9694
1285;22384
1286;154
1287;14146/25591
1288;26403
1289;2616
1290;43125
1291;2181
1292;
1293;12797
1294;11810
1295;128
1296;
1297;
1298;19616
1299;599
1300;6003
1301;19540
1302;
1303;42903/150
1304;11854
1305;4940
1306;33423
1307;
1308;
1309;20358
1310;37
1311;9958
1312;2554
1313;12360
1314;10732
1315;7358
1316;19509
1317;10341
1318;6011
1319;150
1320;
1321;2603
1322;12387
1323;13792
1324;15948/32696
1325;19830
1326;11982
1327;30400
1328;4464
1329;61
1330;
1331;10310
1332;13977/25422
1333;2664
1334;
1335;12809
1336;4630
1337;43556/257
1338;9408
1339;
1340;4509
1341;19278
1342;212
1343;20510
1344;4108
1345;
1346;44
1347;
1348;11745
1349;19211
1350;12549
1351;19292
1352;44418/487
1353;20197
1354;15943
1355;
1356;
1357;
1358;14081 / 4255
1359;180
1360;
1361;13037
1362;12779
1363;43063/60
1364;14120
1365;15109/26554
1366;11699
1367;3992
1368;20224
1369;66
1370;43715
1371;15932
1372;30430
1373;43001/32
1374;2666
1375;14010
1376;16820/33568
1377;4791
1378;
1379;10292
1380;2032
1381;
1382;2088
1383;71
1384;1968
1385;40
1386;
1387;
1388;11692
1389;13285
1390;12579
1391;6257
1392;8
1393;12831
1394;158
1395;10410
1396;10277
1397;18389
1398;178
1399;43538
1400;3123
1401;27294
1402;43483
1403;
1404;15845/32593
1405;30262
1406;
1407;2533
1408;4651
1409;15552/26997
1410;9385
1411;4509
1412;
1413;6079
1414;
1415;
1416;43835/380
1417;14918/2636
1418;16813/33561
1419;12989
1420;16670/33418
1421;10230
1422;
1423;14103
1424;15954
1425;520-7
1426;
1427;
1428;13165
1429;
1430;6052
1431;4561
1432;151
1433;44288 / 4016
1434;55
1435;
1436;13328
1437;14348/2579
1438;43843/324
1439;27069
1440;4978 / 20995
1441;FK-975
1442;43691
1443;15959
1444;
1445;
1446;HP-81/11
1447;14093
1448;10324
1449;19757
1450;1971
1451;93013517
1452;45075
1453;2560
1454;
1455;128
1456;8
1457;162
1458;9101
1459;54-0165
1460;104
1461;188
1462;12312
1463;6
1464;45192 / 4447
1465;44678/543
1466;43475
1467;27239
1468;
1469;4338
1470;4
1471;
1472;4867
1473;16246
1474;30283
1475;14411/25856
1476;13048
1477;
1478;
1479;4514
1480;241
1481;20318
1482;12757
1483;151
1484;7449
1485;13626
1486;6341407
1487;20737
1488;19448
1489;7408
1490;12501
1491;4504
1492;22
1493;18374
1494;146000607
1495;4851
1496;17139/3440
1497;4754
1498;7337
1499;456
1500;14099
1501;30249
1502;150
1503;19332
1504;
1505;12917
1506;15960/40
1507;14117
1508;S-1299
1509;12828
1510;27227
1511;13837/25282
1512;
1513;
1514;
1515;
1516;10200
1517;
1518;18336
1519;52
1520;44622/
1521;5217
1522;
1523;
1524;12762
1525;
1526;196
1527;2312
1528;19988
1529;45072/793
1530;
1531;J5109
1532;135
1533;19779
1534;14113
1535;45142 /243-31
1536;45157/737
1537;108
1538;
1539;20001
1540;33304
1541;15923
1542;2665
1543;4820
1544;493
1545;10051
1546;17348
1547;19317
1548;102
1549;7336
1550;10544
1551;4841
1552;90
1553;
1554;3136
1555;127
1556;
1557;30288
1558;
1559;4822
1560;3134
1561;1307
1562;
1563;4575
1564;13839
1565;
1566;
1567;63
1568;91
1569;4345
1570;
1571;59144
1572;22480
1573;28
1574;
1575;43827/337
1576;103
1577;10053
1578;19667
1579;2007
1580;4602
1581;22404
