Type
Wright Flyer III
Dirigible
UC-64A Noorduyn Norseman
Douglas C-47 Dakota
Douglas R4D-6
Lockheed 18 Loadstar
Curtiss C-46A
B17G Flying Fortress
Douglas C-54E-DO (DC-4)
Curtiss-Wright C-46D-CU
Avro Lancaster
Douglas C-47B-DK
de Havilland DH-86A
Douglas DC-3-201C /  Army A-26
North American B-25D bomber
Sikorsky S-43 (flying boat)
Douglas DC-2-243
Douglas C-47B-5-DK
Curtiss C-46D
Consolidated LB-40-A Liberator
Short Stirling IV
Consolidated LB-30-A Liberator
Curtiss-Wright C-46F-CU
Douglas C-47B
Faucett F-19
Curtiss-Wright C-46A-CK
Douglas C-54G
Martin PBM-3S  / Martin PBM-5
Boeing B-17G
Short Stirling
Douglas C-54
Douglas C-47 Dakota-DK
Five Grumman TBM Avengers
Douglas DC-3-201E
Douglas DC-3 Dakota
Douglas DC-3-194H
Consolidated 32-2 Liberator II
Douglas DC-3-227B
Douglas DC-3 (C-47DL)
Avro 691 Lancastrian 1
Vickers Wellington bomber
PBY4-2 Privateer / PB4Y-2 Privateer
Douglas C-54-DO (DC-4)
Douglas C-54D-DC (DC-4)
Boeing B17G
Lockheed L-049 Constellation
Curtiss C-46
Curtiss C-46D-10-CU
Boeing B-17G / Boeing B-17G
Douglas C-47A-10-DK
Lockheed 18-56 Lodestar
Avro Anson
Douglas DC-3 (C-53D-DO)
Douglas DC-3 (C-47-A5-DL)
Avro 685 York I
Douglas C-47A Dakota
Douglas DC-3 ( C-47-DO)
Douglas DC-4-1009
Douglas C-47B-25-DK
Douglas DC-3A-228D
Douglas C-54E-5-DO
Avro 685 York 1
Fairey Firefly MK1
Douglas DC-4
AAC-1 Toucan
Douglas C-53D-DO (DC-3)
Douglas C-47A-90 DL (DC-3)
Douglas DC-3 (C-47A-90-DL)
Vickers 620 Viking 1
Lisunov Li-2
Curtiss-Wright R5C-1
Douglas DC-3 (C-47-B-1-DK)
Avro  685 York I
Douglas DC-3 ( C-53D-DO)
Curtiss C-46, C-47, DC-3
Douglas DC-3 (C-50A-DO)
Lockheed 049 Consellation
Sikorsky S-43B (flying boat)
Douglas DC-4 (C-54A-DO)
Douglas C-47A-1-DK
Lockheed C-60 Lodestar
